location,city,country,utc,local,latitude,longitude,no2,co,pm25,pm10,o3,unit,attribution
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T07:00:00.000Z,2020-04-29T12:30:00+05:30,28.6573814,77.1585447,12.8,1920,75.07,0,13.43,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T06:15:00.000Z,2020-04-29T11:45:00+05:30,28.6573814,77.1585447,14.54,1780,72.2,0,5.04,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T05:30:00.000Z,2020-04-29T11:00:00+05:30,28.6573814,77.1585447,15.84,1810,68.09,0,6.67,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T05:15:00.000Z,2020-04-29T10:45:00+05:30,28.6573814,77.1585447,16.12,1830,75.89,0,8.5,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T05:00:00.000Z,2020-04-29T10:30:00+05:30,28.6573814,77.1585447,16.73,1790,78.87,0,9.28,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T04:45:00.000Z,2020-04-29T10:15:00+05:30,28.6573814,77.1585447,16.17,1810,85.54,0,5.47,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T04:30:00.000Z,2020-04-29T10:00:00+05:30,28.6573814,77.1585447,16.75,1830,87.66,0,5.99,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T04:00:00.000Z,2020-04-29T09:30:00+05:30,28.6573814,77.1585447,16.14,1820,72,0,4.71,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T03:30:00.000Z,2020-04-29T09:00:00+05:30,28.6573814,77.1585447,20.04,1830,38.04,0,11.01,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T03:15:00.000Z,2020-04-29T08:45:00+05:30,28.6573814,77.1585447,19.45,1890,24.8,0,0,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T03:00:00.000Z,2020-04-29T08:30:00+05:30,28.6573814,77.1585447,22.5,1920,22.6,0,4.01,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T02:30:00.000Z,2020-04-29T08:00:00+05:30,28.6573814,77.1585447,27.17,2070,20.42,0,5.11,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T02:15:00.000Z,2020-04-29T07:45:00+05:30,28.6573814,77.1585447,17.65,2120,25,0,1.14,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T02:00:00.000Z,2020-04-29T07:30:00+05:30,28.6573814,77.1585447,15.32,2090,35.26,0,3.95,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T01:45:00.000Z,2020-04-29T07:15:00+05:30,28.6573814,77.1585447,17.78,2070,37.34,0,7.28,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T01:30:00.000Z,2020-04-29T07:00:00+05:30,28.6573814,77.1585447,17.58,2080,33.78,0,6.51,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T01:00:00.000Z,2020-04-29T06:30:00+05:30,28.6573814,77.1585447,16,2080,19.4,0,2.82,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T00:30:00.000Z,2020-04-29T06:00:00+05:30,28.6573814,77.1585447,16.45,2070,26.29,0,5.15,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-29T00:00:00.000Z,2020-04-29T05:30:00+05:30,28.6573814,77.1585447,18.12,2120,22.6,0,2.03,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T23:45:00.000Z,2020-04-29T05:15:00+05:30,28.6573814,77.1585447,16.53,2050,21.42,0,5.69,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T23:30:00.000Z,2020-04-29T05:00:00+05:30,28.6573814,77.1585447,19.12,2100,33.83,0,6.02,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T23:00:00.000Z,2020-04-29T04:30:00+05:30,28.6573814,77.1585447,17.83,2120,59.6,0,6.92,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T22:30:00.000Z,2020-04-29T04:00:00+05:30,28.6573814,77.1585447,15.4,1960,62.48,0,5.49,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T22:15:00.000Z,2020-04-29T03:45:00+05:30,28.6573814,77.1585447,15.86,1940,65.53,0,8.78,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T22:00:00.000Z,2020-04-29T03:30:00+05:30,28.6573814,77.1585447,16.16,1890,67.85,0,5.25,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T21:00:00.000Z,2020-04-29T02:30:00+05:30,28.6573814,77.1585447,15.71,1930,64.02,0,13.3,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T20:45:00.000Z,2020-04-29T02:15:00+05:30,28.6573814,77.1585447,15.65,1950,63.19,0,2.55,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T20:30:00.000Z,2020-04-29T02:00:00+05:30,28.6573814,77.1585447,15.37,1950,64.45,0,9.96,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T20:15:00.000Z,2020-04-29T01:45:00+05:30,28.6573814,77.1585447,15.61,1970,68.6,0,5.1,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T20:00:00.000Z,2020-04-29T01:30:00+05:30,28.6573814,77.1585447,15.99,1960,69.72,0,14.55,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-28T19:15:00.000Z,2020-04-29T00:45:00+05:30,28.6573814,77.1585447,20.4,1970,49.87,0,9.61,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
